Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359.0,Active,Buteo lineatus,Red-shouldered Hawk,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,51.0,,,SC,,G5,CA: SNRB
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430.0,Active,Circus cyaneus,Northern Harrier,,Accepted,No,Approved,Present,Native,Common,Resident,49.0,,,SC,,,
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79489,175284.0,Active,Elanus caeruleus,White-tailed Kite,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,24.0,,,SC,,,
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420.0,Active,Haliaeetus leucocephalus,Bald Eagle,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,155.0,,,DM,"CA: FP,S,SE",G5,CA: S3
REDW,Redwood National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265.0,Active,Cathartes aura,Turkey Vulture,Cathartes aura septentrionalis,Accepted,No,Approved,Present,Native,Common,Breeder,59.0,,1.0,SC,,G5,CA: SNR
REDW,Redwood National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590.0,Active,Pandion haliaetus,Osprey,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,84.0,,,SC,"CA: S,WL",G5,CA: S4
REDW,Redwood National Park,Bird,2,Anseriformes,Anatidae,77836,175122.0,Active,Aix sponsa,Wood Duck,,Accepted,No,Approved,Present,Native,Common,Breeder,40.0,,,SU,,G5,CA: SNR
REDW,Redwood National Park,Bird,2,Anseriformes,Anatidae,77782,175074.0,Active,Anas acuta,Northern Pintail,,Accepted,No,Approved,Present,Native,Occasional,Resident,15.0,,,,,G5,"CA: SNRB,SNRN"
REDW,Redwood National Park,Bird,2,Anseriformes,Anatidae,77804,175094.0,Active,Anas americana,American Wigeon,,Accepted,No,Approved,Present,Native,Uncommon,Resident,25.0,,,,,,
REDW,Redwood National Park,Bird,2,Anseriformes,Anatidae,77806,175096.0,Active,Anas clypeata,Northern Shoveler,,Accepted,No,Approved,Present,Native,Rare,Breeder,17.0,,2.0,,,,
